Unnamed: 0,Datetime,Site,Utility/Meter,Sub Utility,Flow,Previous meter reading,Previous meter reading date,Present meter reading,Present meter reading date
0,3/1/23,16,E,0,FALSE,191543.0,3/9/23,192577.0,4/6/23
1,3/1/23,16,G,0,FALSE,22768.0,3/9/23,23103.0,4/6/23
2,3/1/23,16,W,0,FALSE,169.937,3/9/23,171.846,4/6/23
3,3/1/23,4,E,0,FALSE,134628.0,3/9/23,136285.0,4/6/23
4,3/1/23,4,G,0,FALSE,79809.65,3/9/23,81327.35,4/6/23
5,3/1/23,4,W,0,FALSE,7628.6,3/9/23,7628.6,4/6/23
6,3/1/23,5,E,0,FALSE,358341.0,3/9/23,360285.0,4/6/23
7,3/1/23,5,G,0,FALSE,148981.59,3/9/23,150391.13,4/6/23
8,3/1/23,5,W,0,FALSE,12876.874,3/9/23,12924.681,4/6/23
9,3/1/23,6,E,0,FALSE,137311.0,3/9/23,137976.0,4/6/23
10,3/1/23,6,W,0,FALSE,2970.7049,3/9/23,2979.8713,4/6/23
11,3/1/23,7,E,Office,FALSE,444856.0,3/9/23,449579.0,4/6/23
12,3/1/23,7,E,Store,FALSE,766705.0,3/9/23,771834.0,4/6/23
13,3/1/23,7,W,0,FALSE,468.0,3/9/23,476.0,4/6/23
14,3/1/23,12,E,0,FALSE,36162.0,3/9/23,36853.0,4/6/23
15,3/1/23,13,E,0,FALSE,168212.0,3/9/23,170851.0,4/6/23
16,3/1/23,8,E,0,FALSE,22860.0,3/9/23,22935.0,4/6/23
17,3/1/23,8,W,0,FALSE,248.0,3/9/23,248.0,4/6/23
18,3/1/23,9,E,0,FALSE,75471.0,3/9/23,75772.0,4/6/23
19,3/1/23,9,W,0,FALSE,3907.0,3/9/23,3919.0,4/6/23
20,3/1/23,10,E,Board 1,FALSE,582576.0,3/9/23,586719.0,4/6/23
21,3/1/23,10,E,Board 2,FALSE,1342551.0,3/9/23,1349705.0,4/6/23
22,3/1/23,10,G,0,FALSE,1593.41,3/9/23,1593.41,4/6/23
23,3/1/23,10,W,0,FALSE,143127.0,3/9/23,143604.0,4/6/23
24,3/1/23,14,G,Gas,FALSE,578848.0,3/9/23,579236.0,4/6/23
25,3/1/23,15,G,DHW Flow,FALSE,46591.0,3/9/23,47104.0,4/6/23
26,3/1/23,15,G,DHW Return,TRUE,31.747,3/9/23,433.517,4/6/23
27,3/1/23,14,E,M1,FALSE,953553.0,3/9/23,977762.0,4/6/23
28,3/1/23,14,E,M3,FALSE,139214.0,3/9/23,142365.0,4/6/23
29,3/1/23,14,E,M4,FALSE,240871.0,3/9/23,247882.0,4/6/23
30,3/1/23,14,E,PR10,TRUE,8612.0,3/9/23,12417.0,4/6/23
31,3/1/23,14,E,PR3,TRUE,244980.0,3/9/23,250627.0,4/6/23
32,3/1/23,11,E,0,FALSE,3325082.0,3/9/23,3348859.0,4/6/23
33,3/1/23,11,W,0,FALSE,29424.376,3/9/23,29649.689,4/6/23
34,3/1/23,1,E,0,FALSE,411191.0,3/9/23,414927.0,4/6/23
35,3/1/23,1,G,0,FALSE,643.8,3/9/23,648.7,4/6/23
36,3/1/23,1,W,0,FALSE,25907.37,3/9/23,26085.84,4/6/23
37,3/1/23,2,E,0,FALSE,400710,3/9/23,402710,4/6/23
38,3/1/23,2,G,0,FALSE,727491.2,3/9/23,728683.9,4/6/23
39,3/1/23,2,W,0,FALSE,10324.0,3/9/23,10554.0,4/6/23
40,3/1/23,3,E,0,FALSE,66150.0,3/9/23,69209.0,4/6/23
41,3/1/23,3,G,0,FALSE,134075.8,3/9/23,136457.2,4/6/23
42,3/1/23,3,W,0,FALSE,7172.0,3/9/23,7280.0,4/6/23
43,3/1/23,House 1,E,0,FALSE,89084.0,3/9/23,89403.0,4/6/23
44,3/1/23,House 1,W,0,FALSE,334.51,3/9/23,348.65,4/6/23
45,3/1/23,House 2,E,0,FALSE,89481.0,3/9/23,89771.0,4/6/23
46,3/1/23,House 2,W,0,FALSE,313.395,3/9/23,327.38,4/6/23
47,3/1/23,House 3,E,0,FALSE,47995.0,3/9/23,48203.0,4/6/23
48,3/1/23,House 3,W,0,FALSE,377.365,3/9/23,390.463,4/6/23
49,3/1/23,House 4,E,0,FALSE,85966.0,3/9/23,86225.0,4/6/23
50,3/1/23,House 4,W,0,FALSE,219.986,3/9/23,231.586,4/6/23
51,3/1/23,House 5,E,0,FALSE,62042.0,3/9/23,62248.0,4/6/23
52,3/1/23,House 5,W,0,FALSE,779.378,3/9/23,792.827,4/6/23